,English,,Simplified Chinese,
276610,Rooty Hill Station,Rooty Hill,鲁蒂山 (Rooty Hill) 站,鲁蒂山 (Rooty Hill)
276710,Doonside Station,Doonside,冬西 (Doonside) 站,冬西 (Doonside)
277010,Mount Druitt Station,Mount Druitt,德鲁伊特山 (Mount Druitt) 站,德鲁伊特山 (Mount Druitt)
277310,Glenbrook Station,Glenbrook,格伦布鲁克 (Glenbrook) 站,格伦布鲁克 (Glenbrook)
277420,Warrimoo Station,Warrimoo,沃梨木 (Warrimoo) 站,沃梨木 (Warrimoo)
277610,Faulconbridge Station,Faulconbridge,佛肯桥 (Faulconbridge) 站,佛肯桥 (Faulconbridge)
277710,Valley Heights Station,Valley Heights,山谷高地 (Valley Heights) 站,山谷高地 (Valley Heights)
277720,Springwood Station,Springwood,斯普林伍德 (Springwood) 站,斯普林伍德 (Springwood)
277810,Woodford Station,Woodford,伍德福德 (Woodford) 站,伍德福德 (Woodford)
278030,Medlow Bath Station,Medlow Bath,梅德洛浴 (Medlow Bath) 站,梅德洛浴 (Medlow Bath)
278210,Wentworth Falls Station,Wentworth Falls,温特沃斯瀑布 (Wentworth Falls) 站,温特沃斯瀑布 (Wentworth Falls)
278310,Lawson Station,Lawson,劳森 (Lawson) 站,劳森 (Lawson)
278410,Bullaburra Station,Bullaburra,布拉布拉 (Bullaburra) 站,布拉布拉 (Bullaburra)
23801,Gunnedah Station,Gunnedah,冈尼达 (Gunnedah) 站,冈尼达 (Gunnedah)
23901,Narrabri Station,Narrabri,纳拉布里 (Narrabri) 站,纳拉布里 (Narrabri)
23971,Bellata Station,Bellata,贝拉塔 (Bellata) 站,贝拉塔 (Bellata)
24001,Moree Station,Moree,莫里 (Moree) 站,莫里 (Moree)
24221,Gloucester Station,Gloucester,格洛斯特 (Gloucester) 站,格洛斯特 (Gloucester)
24291,Wingham Station,Wingham,温厄姆 (Wingham) 站,温厄姆 (Wingham)
24301,Taree Station,Taree,塔里 (Taree) 站,塔里 (Taree)
24391,Kendall Station,Kendall,肯德尔 (Kendall) 站,肯德尔 (Kendall)
24411,Eungai Station,Eungai Rail,恩盖 (Eungai) 站,恩盖铁路 (Eungai Rail)
24471,Macksville Station,Macksville,麦克斯维尔 (Macksville) 站,麦克斯维尔 (Macksville)
24481,Nambucca Heads Station,Nambucca Heads,楠巴卡黑兹 (Nambucca Heads) 站,楠巴卡黑兹 (Nambucca Heads)
24501,Coffs Harbour Station,Coffs Harbour,科夫斯港 (Coffs Harbour) 站,科夫斯港 (Coffs Harbour)
24521,Sawtell Station,Toormina,萨维特尔 (Sawtell) 站,图米纳 (Toormina)
24551,Urunga Station,Urunga,尤朗加 (Urunga) 站,尤朗加 (Urunga)
24601,Grafton Station,South Grafton,格拉夫顿 (Grafton) 站,南格拉夫顿 (South Grafton)
24741,Kyogle Station,Kyogle,凯欧格尔 (Kyogle) 站,凯欧格尔 (Kyogle)
258011,Tarago Station,Tarago,塔勒戈 (Tarago) 站,塔勒戈 (Tarago)
25811,Gunning Station,Gunning,冈宁 (Gunning) 站,冈宁 (Gunning)
25871,Harden Station,Harden,哈登 (Harden) 站,哈登 (Harden)
25901,Cootamundra Station,Cootamundra,库塔曼德拉 (Cootamundra) 站,库塔曼德拉 (Cootamundra)
26201,Queanbeyan Station,Queanbeyan,昆比恩 (Queanbeyan) 站,昆比恩 (Queanbeyan)
26211,Bungendore Station,Bungendore,宾根多尔 (Bungendore) 站,宾根多尔 (Bungendore)
26501,Wagga Wagga Station,Turvey Park,沃加沃加 (Wagga Wagga) 站,特维公园 (Turvey Park)
26551,The Rock Station,The Rock,岩石区 (The Rock) 站,岩石区 (The Rock)
26581,Henty Station,Henty,亨蒂 (Henty) 站,亨蒂 (Henty)
26601,Culcairn Station,Culcairn,卡尔凯恩 (Culcairn) 站,卡尔凯恩 (Culcairn)
26631,Junee Station,Junee,朱尼 (Junee) 站,朱尼 (Junee)
26801,Griffith Station,Griffith,格里菲斯 (Griffith) 站,格里菲斯 (Griffith)
27011,Coolamon Station,Coolamon,库拉门 (Coolamon) 站,库拉门 (Coolamon)
27051,Leeton Station,Leeton,利顿 (Leeton) 站,利顿 (Leeton)
27871,Tarana Station,Tarana,塔拉纳 (Tarana) 站,塔拉纳 (Tarana)
2790128,Rydal Station,Rydal,赖德尔 (Rydal) 站,赖德尔 (Rydal)
279538,Bathurst Station,Bathurst,巴瑟斯特 (Bathurst) 站,巴瑟斯特 (Bathurst)
27991,Blayney Station,Blayney,布莱尼 (Blayney) 站,布莱尼 (Blayney)
28001,Orange Station,Orange,奥兰治 (Orange) 站,奥兰治 (Orange)
28202,Wellington Station,Wellington,惠灵顿 (Wellington) 站,惠灵顿 (Wellington)
28301,Dubbo Station,Dubbo,达博 (Dubbo) 站,达博 (Dubbo)
28311,Geurie Station,Geurie,格里 (Geurie) 站,格里 (Geurie)
28701,Parkes Station,Parkes,帕克斯 (Parkes) 站,帕克斯 (Parkes)
28772,Condobolin Station,Condobolin,康多博林 (Condobolin) 站,康多博林 (Condobolin)
28782,Ivanhoe Station,Ivanhoe,艾文霍 (Ivanhoe) 站,艾文霍 (Ivanhoe)
28791,Menindee Station,Menindee,梅宁迪 (Menindee) 站,梅宁迪 (Menindee)
