,English,,Simplified Chinese,
2207282,"Bexley North Station, Platform 2",Bexley North,北贝克斯利 (Bexley North) 站 2 号站台,北贝克斯利 (Bexley North)
2208141,"Kingsgrove Station, Platform 1",Kingsgrove,京士高 (Kingsgrove) 站 1 号站台,京士高 (Kingsgrove)
2208142,"Kingsgrove Station, Platform 2",Kingsgrove,京士高 (Kingsgrove) 站 2 号站台,京士高 (Kingsgrove)
2209141,"Beverly Hills Station, Platform 1",Beverly Hills,比华利山 (Beverly Hills) 站 1 号站台,比华利山 (Beverly Hills)
2209142,"Beverly Hills Station, Platform 2",Beverly Hills,比华利山 (Beverly Hills) 站 2 号站台,比华利山 (Beverly Hills)
2210321,"Riverwood Station, Platform 1",Riverwood,河林镇 (Riverwood) 站 1 号站台,河林镇 (Riverwood)
2211141,"Padstow Station, Platform 1",Padstow,帕茲托 (Padstow) 站 1 号站台,帕兹托 (Padstow)
2212161,"Revesby Station, Platform 1",Revesby,瑞斯比 (Revesby) 站 1 号站台,瑞斯比 (Revesby)
2212162,"Revesby Station, Platform 2",Revesby,瑞斯比 (Revesby) 站 2 号站台,瑞斯比 (Revesby)
2212163,"Revesby Station, Platform 3",Revesby,瑞斯比 (Revesby) 站 3 号站台,瑞斯比 (Revesby)
2212164,"Revesby Station, Platform 4",Revesby,瑞斯比 (Revesby) 站 4 号站台,瑞斯比 (Revesby)
202091,"Domestic Airport Station, Platform 1",Mascot,国内机场 (Domestic Airport) 站 1 号站台,马斯党 (Mascot)
202092,"Domestic Airport Station, Platform 2",Mascot,国内机场 (Domestic Airport) 站 2 号站台,马斯党 (Mascot)
202291,"Bondi Junction Station, Platform 1",Bondi Junction,邦迪枢纽 (Bondi Junction) 站 1 号站台,邦迪枢纽 (Bondi Junction) 
202292,"Bondi Junction Station, Platform 2",Bondi Junction,邦迪枢纽 (Bondi Junction) 站 2 号站台,邦迪枢纽 (Bondi Junction) 
202761,"Edgecliff Station, Platform 1",Edgecliff,崖勤猎 (Edgecliff) 站 1 号站台,崖勤猎 (Edgecliff)
202762,"Edgecliff Station, Platform 2",Edgecliff,崖勤猎 (Edgecliff) 站 2 号站台,崖勤猎 (Edgecliff)
204261,"Newtown Station, Platform 1",Newtown,新镇 (Newtown) 站 1 号站台,新镇 (Newtown)
204262,"Newtown Station, Platform 2",Newtown,新镇 (Newtown) 站 2 号站台,新镇 (Newtown)
204331,"Erskineville Station, Platform 1",Erskineville,埃斯基内维尔 (Erskineville) 站 1 号站台,埃斯基内维尔 (Erskineville)
204332,"Erskineville Station, Platform 2",Erskineville,埃斯基内维尔 (Erskineville) 站 2 号站台,埃斯基内维尔 (Erskineville)
204333,"Erskineville Station, Platform 3",Erskineville,埃斯基内维尔 (Erskineville) 站 3 号站台,埃斯基内维尔 (Erskineville)
204334,"Erskineville Station, Platform 4",Erskineville,埃斯基内维尔 (Erskineville) 站 4 号站台,埃斯基内维尔 (Erskineville)
204462,"St Peters Station, Platform 2",St Peters,圣彼得 (St Peters) 站 2 号站台,圣彼得 (St Peters)
204463,"St Peters Station, Platform 3",St Peters,圣彼得 (St Peters) 站 3 号站台,圣彼得 (St Peters)
204464,"St Peters Station, Platform 4",St Peters,圣彼得 (St Peters) 站 4 号站台,圣彼得 (St Peters)
204471,"Sydenham Station, Platform 1",Sydenham,悉邓咸 (Sydenham) 站 1 号站台,悉邓咸 (Sydenham)
204472,"Sydenham Station, Platform 2",Sydenham,悉邓咸 (Sydenham) 站 2 号站台,悉邓咸 (Sydenham)
204473,"Sydenham Station, Platform 3",Sydenham,悉邓咸 (Sydenham) 站 3 号站台,悉邓咸 (Sydenham)
204474,"Sydenham Station, Platform 4",Sydenham,悉邓咸 (Sydenham) 站 4 号站台,悉邓咸 (Sydenham)
204475,"Sydenham Station, Platform 5",Sydenham,悉邓咸 (Sydenham) 站 5 号站台,悉邓咸 (Sydenham)
204476,"Sydenham Station, Platform 6",Sydenham,悉邓咸 (Sydenham) 站 6 号站台,悉邓咸 (Sydenham)
204481,"Tempe Station, Platform 1",Tempe,坦佩 (Tempe) 站 1 号站台,坦佩 (Tempe)
204482,"Tempe Station, Platform 2",Tempe,坦佩 (Tempe) 站 2 号站台,坦佩 (Tempe)
204483,"Tempe Station, Platform 3",Tempe,坦佩 (Tempe) 站 3 号站台,坦佩 (Tempe)
204832,"Stanmore Station, Platform 2",Stanmore,斯坦莫尔 (Stanmore) 站 2 号站台,斯坦莫尔 (Stanmore)
204981,"Lewisham Station, Platform 1",Lewisham,刘易舍姆 (Lewisham) 站 1 号站台,刘易舍姆 (Lewisham)
204982,"Lewisham Station, Platform 2",Lewisham,刘易舍姆 (Lewisham) 站 2 号站台,刘易舍姆 (Lewisham)
204991,"Petersham Station, Platform 1",Petersham,彼得咸 (Petersham) 站 1 号站台,彼得咸 (Petersham)
204992,"Petersham Station, Platform 2",Petersham,彼得咸 (Petersham) 站 2 号站台,彼得咸 (Petersham)
2060101,"North Sydney Station, Platform 1",North Sydney,北悉尼 (North Sydney) 站 1 号站台,北悉尼 (North Sydney)
2060102,"North Sydney Station, Platform 2",North Sydney,北悉尼 (North Sydney) 站 2 号站台,北悉尼 (North Sydney)
2060103,"North Sydney Station, Platform 3",North Sydney,北悉尼 (North Sydney) 站 3 号站台,北悉尼 (North Sydney)
2060104,"North Sydney Station, Platform 4",North Sydney,北悉尼 (North Sydney) 站 4 号站台,北悉尼 (North Sydney)
2060111,"Waverton Station, Platform 1",Waverton,威弗顿 (Waverton) 站 1 号站台,威弗顿 (Waverton)
2060112,"Waverton Station, Platform 2",Waverton,威弗顿 (Waverton) 站 2 号站台,威弗顿 (Waverton)
206141,"Milsons Point Station, Platform 1",Milsons Point,米尔逊角 (Milsons Point) 站 1 号站台,米尔逊角 (Milsons Point)
206451,"Artarmon Station, Platform 1",Artarmon,阿尔塔蒙 (Artarmon) 站 1 号站台,阿尔塔蒙 (Artarmon)
206452,"Artarmon Station, Platform 2",Artarmon,阿尔塔蒙 (Artarmon) 站 2 号站台,阿尔塔蒙 (Artarmon)
2065152,"St Leonards Station, Platform 2",St Leonards,圣伦纳兹 (St Leonards) 站 2 号站台,圣伦纳兹 (St Leonards)
2065153,"St Leonards Station, Platform 3",St Leonards,圣伦纳兹 (St Leonards) 站 3 号站台,圣伦纳兹 (St Leonards)
2065161,"Wollstonecraft Station, Platform 1",Wollstonecraft,沃斯通克拉夫特 (Wollstonecraft) 站 1 号站台,沃斯通克拉夫特 (Wollstonecraft)
2067141,"Chatswood Station, Platform 1",Chatswood,车士活 (Chatswood) 站 1 号站台,车士活 (Chatswood)
2067142,"Chatswood Station, Platform 2",Chatswood,车士活 (Chatswood) 站 2 号站台,车士活 (Chatswood)
2067143,"Chatswood Station, Platform 3",Chatswood,车士活 (Chatswood) 站 3 号站台,车士活 (Chatswood)
2067144,"Chatswood Station, Platform 4",Chatswood,车士活 (Chatswood) 站 4 号站台,车士活 (Chatswood)
2069132,"Roseville Station, Platform 2",Roseville,罗斯维尔 (Roseville) 站 2 号站台,罗斯维尔 (Roseville)
2070142,"Lindfield Station, Platform 2",Lindfield,林德菲尔德 (Lindfield) 站 2 号站台,林德菲尔德 (Lindfield)
2070143,"Lindfield Station, Platform 3",Lindfield,林德菲尔德 (Lindfield) 站 3 号站台,林德菲尔德 (Lindfield)
207191,"Killara Station, Platform 1",Killara,基拉腊 (Killara) 站 1 号站台,基拉腊 (Killara)
207261,"Gordon Station, Platform 1",Gordon,戈登 (Gordon) 站 1 号站台,戈登 (Gordon)
207263,"Gordon Station, Platform 3",Gordon,戈登 (Gordon) 站 3 号站台,戈登 (Gordon)
2073161,"Pymble Station, Platform 1",Pymble,平布尔 (Pymble) 站 1 号站台,平布尔 (Pymble)
2073162,"Pymble Station, Platform 2",Pymble,平布尔 (Pymble) 站 2 号站台,平布尔 (Pymble)
2074182,"Turramurra Station, Platform 2",Turramurra,塔勒马拉 (Turramurra) 站 2 号站台,塔勒马拉 (Turramurra)
2074191,"Warrawee Station, Platform 1",Warrawee,沃拉威 (Warrawee) 站 1 号站台,沃拉威 (Warrawee)
2076231,"Normanhurst Station, Platform 1",Normanhurst,诺曼赫斯特 (Normanhurst) 站 1 号站台,诺曼赫斯特 (Normanhurst)
2076232,"Normanhurst Station, Platform 2",Normanhurst,诺曼赫斯特 (Normanhurst) 站 2 号站台,诺曼赫斯特 (Normanhurst)
2076241,"Wahroonga Station, Platform 1",Wahroonga,沃龙加 (Wahroonga) 站 1 号站台,沃龙加 (Wahroonga)
2076242,"Wahroonga Station, Platform 2",Wahroonga,沃龙加 (Wahroonga) 站 2 号站台,沃龙加 (Wahroonga)
2077292,"Asquith Station, Platform 2",Asquith,阿斯奎斯 (Asquith) 站 2 号站台,阿斯奎斯 (Asquith)
2077302,"Hornsby Station, Platform 2",Hornsby,康士比 (Hornsby) 站 2 号站台,康士比 (Hornsby)
2077303,"Hornsby Station, Platform 3",Hornsby,康士比 (Hornsby) 站 3 号站台,康士比 (Hornsby)
2077304,"Hornsby Station, Platform 4",Hornsby,康士比 (Hornsby) 站 4 号站台,康士比 (Hornsby)
2077305,"Hornsby Station, Platform 5",Hornsby,康士比 (Hornsby) 站 5 号站台,康士比 (Hornsby)
2077311,"Waitara Station, Platform 1",Waitara,怀塔拉 (Waitara) 站 1 号站台,怀塔拉 (Waitara)
2077312,"Waitara Station, Platform 2",Waitara,怀塔拉 (Waitara) 站 2 号站台,怀塔拉 (Waitara)
2079101,"Mount Colah Station, Platform 1",Mount Colah,芒特科拉 (Mount Colah) 站 1 号站台,芒特科拉 (Mount Colah)
2113362,"North Ryde Station, Platform 2",Macquarie Park,北莱德 (North Ryde) 站 2 号站台,麦考瑞公园 (Macquarie Park)
2114171,"Denistone Station, Platform 1",Denistone,德尼斯通 (Denistone) 站 1 号站台,德尼斯通 (Denistone)
2114172,"Denistone Station, Platform 2",Denistone,德尼斯通 (Denistone) 站 2 号站台,德尼斯通 (Denistone)
2213141,"East Hills Station, Platform 1",East Hills,东山 (East Hills) 站 1 号站台,东山 (East Hills)
2213142,"East Hills Station, Platform 2",East Hills,东山 (East Hills) 站 2 号站台,东山 (East Hills)
2213143,"East Hills Station, Platform 3",East Hills,东山 (East Hills) 站 3 号站台,东山 (East Hills)
2213152,"Panania Station, Platform 2",Panania,帕纳尼安 (Panania) 站 2 号站台,帕纳尼安 (Panania)
2216162,"Banksia Station, Platform 2",Banksia,奔驰亚 (Banksia) 站 2 号站台,奔驰亚 (Banksia)
2216163,"Banksia Station, Platform 3",Banksia,奔驰亚 (Banksia) 站 3 号站台,奔驰亚 (Banksia)
2216164,"Banksia Station, Platform 4",Banksia,奔驰亚 (Banksia) 站 4 号站台,奔驰亚 (Banksia)
2216172,"Rockdale Station, Platform 2",Rockdale,石谷 (Rockdale) 站 2 号站台,石谷 (Rockdale)
2216173,"Rockdale Station, Platform 3",Rockdale,石谷 (Rockdale) 站 3 号站台,石谷 (Rockdale)
2216174,"Rockdale Station, Platform 4",Rockdale,石谷 (Rockdale) 站 4 号站台,石谷 (Rockdale)
2216175,"Rockdale Station, Platform 5",Rockdale,石谷 (Rockdale) 站 5 号站台,石谷 (Rockdale)
2217191,"Kogarah Station, Platform 1",Kogarah,高嘉华 (Kogarah) 站 1 号站台,高嘉华 (Kogarah)
2217192,"Kogarah Station, Platform 2",Kogarah,高嘉华 (Kogarah) 站 2 号站台,高嘉华 (Kogarah)
2217193,"Kogarah Station, Platform 3",Kogarah,高嘉华 (Kogarah) 站 3 号站台,高嘉华 (Kogarah)
2217194,"Kogarah Station, Platform 4",Kogarah,高嘉华 (Kogarah) 站 4 号站台,高嘉华 (Kogarah)
221891,"Carlton Station, Platform 1",Carlton,交顿 (Carlton) 站 1 号站台,交顿 (Carlton)
221892,"Carlton Station, Platform 2",Carlton,交顿 (Carlton) 站 2 号站台,交顿 (Carlton)
221894,"Carlton Station, Platform 4",Carlton,交顿 (Carlton) 站 4 号站台,交顿 (Carlton)
2220352,"Allawah Station, Platform 2",Hurstville,阿拉瓦 (Allawah) 站 2 号站台,好士围 (Hurstville)
2220353,"Allawah Station, Platform 3",Hurstville,阿拉瓦 (Allawah) 站 3 号站台,好士围 (Hurstville)
2220354,"Allawah Station, Platform 4",Hurstville,阿拉瓦 (Allawah) 站 4 号站台,好士围 (Hurstville)
2220361,"Hurstville Station, Platform 1",Hurstville,好士围 (Hurstville) 站 1 号站台,好士围 (Hurstville)
2220362,"Hurstville Station, Platform 2",Hurstville,好士围 (Hurstville) 站 2 号站台,好士围 (Hurstville)
2220363,"Hurstville Station, Platform 3",Hurstville,好士围 (Hurstville) 站 3 号站台,好士围 (Hurstville)
2220364,"Hurstville Station, Platform 4",Hurstville,好士围 (Hurstville) 站 4 号站台,好士围 (Hurstville)
2230211,"Cronulla Station, Platform 1",Cronulla,克罗诺拉 (Cronulla) 站 1 号站台,克罗诺拉 (Cronulla)
2230212,"Cronulla Station, Platform 2",Cronulla,克罗诺拉 (Cronulla) 站 2 号站台,克罗诺拉 (Cronulla)
2250842,"Tascott Station, Platform 2",Tascott,塔斯科特 (Tascott) 站 2 号站台,塔斯科特 (Tascott)
2256451,"Koolewong Station, Platform 1",Koolewong,库利旺 (Koolewong) 站 1 号站台,库利旺 (Koolewong)
2256462,"Wondabyne Station, Platform 2",Wondabyne,湾态阪 (Wondabyne) 站 2 号站台,湾态阪 (Wondabyne)
2256471,"Woy Woy Station, Platform 1",Woy Woy,沃伊沃伊 (Woy Woy) 站 1 号站台,沃伊沃伊 (Woy Woy)
2256472,"Woy Woy Station, Platform 2",Woy Woy,沃伊沃伊 (Woy Woy) 站 2 号站台,沃伊沃伊 (Woy Woy)
2258111,"Ourimbah Station, Platform 1",Ourimbah,欧林巴 (Ourimbah) 站 1 号站台,欧林巴 (Ourimbah)
2258112,"Ourimbah Station, Platform 2",Ourimbah,欧林巴 (Ourimbah) 站 2 号站台,欧林巴 (Ourimbah)
2259912,"Tuggerah Station, Platform 2",Tuggerah,塔格拉 (Tuggerah) 站 2 号站台,塔格拉 (Tuggerah)
2259921,"Warnervale Station, Platform 1",Warnervale,华纳费尔 (Warnervale) 站 1 号站台,华纳费尔 (Warnervale)
2259922,"Warnervale Station, Platform 2",Warnervale,华纳费尔 (Warnervale) 站 2 号站台,华纳费尔 (Warnervale)
2259931,"Wyee Station, Platform 1",Wyee,怀伊 (Wyee) 站 1 号站台,怀伊 (Wyee)
2259932,"Wyee Station, Platform 2",Wyee,怀伊 (Wyee) 站 2 号站台,怀伊 (Wyee)
2259941,"Wyong Station, Platform 1",Wyong,怀昂 (Wyong) 站 1 号站台,怀昂 (Wyong)
2259942,"Wyong Station, Platform 2",Wyong,怀昂 (Wyong) 站 2 号站台,怀昂 (Wyong)
2259943,"Wyong Station, Platform 3",Wyong,怀昂 (Wyong) 站 3 号站台,怀昂 (Wyong)
2264192,"Dora Creek Station, Platform 2",Dora Creek,多拉溪 (Dora Creek) 站 2 号站台,多拉溪 (Dora Creek)
2264201,"Morisset Station, Platform 1",Morisset,莫里塞特 (Morisset) 站 1 号站台,莫里塞特 (Morisset)
2264202,"Morisset Station, Platform 2",Morisset,莫里塞特 (Morisset) 站 2 号站台,莫里塞特 (Morisset)
2283221,"Awaba Station, Platform 1",Awaba,阿瓦巴 (Awaba) 站 1 号站台,阿瓦巴 (Awaba)
2283222,"Awaba Station, Platform 2",Awaba,阿瓦巴 (Awaba) 站 2 号站台,阿瓦巴 (Awaba)
2283231,"Fassifern Station, Platform 1",Fassifern,法斯芬 (Fassifern) 站 1 号站台,法斯芬 (Fassifern)
2283232,"Fassifern Station, Platform 2",Fassifern,法斯芬 (Fassifern) 站 2 号站台,法斯芬 (Fassifern)
2284161,"Booragul Station, Platform 1",Teralba,布拉古尔 (Booragul) 站 1 号站台,特拉巴 (Teralba)
2284162,"Booragul Station, Platform 2",Teralba,布拉古尔 (Booragul) 站 2 号站台,特拉巴 (Teralba)
2284171,"Cockle Creek Station, Platform 1",Boolaroo,科克尔溪 (Cockle Creek) 站 1 号站台,布拉鲁 (Boolaroo)
2284181,"Teralba Station, Platform 1",Teralba,特拉巴 (Teralba) 站 1 号站台,特拉巴 (Teralba)
2284182,"Teralba Station, Platform 2",Teralba,特拉巴 (Teralba) 站 2 号站台,特拉巴 (Teralba)
2285361,"Cardiff Station, Platform 1",Cardiff,卡迪夫 (Cardiff) 站 1 号站台,卡迪夫 (Cardiff)
2289331,"Adamstown Station, Platform 1",Adamstown,亚当斯镇 (Adamstown) 站 1 号站台,亚当斯镇 (Adamstown)
2289332,"Adamstown Station, Platform 2",Adamstown,亚当斯镇 (Adamstown) 站 2 号站台,亚当斯镇 (Adamstown)
2289341,"Kotara Station, Platform 1",Kotara,科塔拉 (Kotara) 站 1 号站台,科塔拉 (Kotara)
2289342,"Kotara Station, Platform 2",Kotara,科塔拉 (Kotara) 站 2 号站台,科塔拉 (Kotara)
229271,"Broadmeadow Station, Platform 1",Broadmeadow,布罗德梅多 (Broadmeadow) 站 1 号站台,布罗德梅多 (Broadmeadow)
229273,"Broadmeadow Station, Platform 3",Broadmeadow,布罗德梅多 (Broadmeadow) 站 3 号站台,布罗德梅多 (Broadmeadow)
229351,"Newcastle Interchange, Platform 1",Wickham,纽卡斯尔枢纽 (Newcastle Interchange) 站 1 号站台,威克姆 (Wickham)
229352,"Newcastle Interchange, Platform 2",Wickham,纽卡斯尔枢纽 (Newcastle Interchange) 站 2 号站台,威克姆 (Wickham)
2300131,"Civic Station, Platform 1",Newcastle,市政 (Civic) 站 1 号站台,纽卡斯尔 (Newcastle)
2300132,"Civic Station, Platform 2",Newcastle,市政 (Civic) 站 2 号站台,纽卡斯尔 (Newcastle)
2300142,"Newcastle Station, Platform 2",Newcastle,纽卡斯尔 (Newcastle) 站 2 号站台,纽卡斯尔 (Newcastle)
2300144,"Newcastle Station, Platform 4",Newcastle,纽卡斯尔 (Newcastle) 站 4 号站台,纽卡斯尔 (Newcastle)
2303151,"Hamilton Station, Platform 1",Hamilton,汉密尔顿 (Hamilton) 站 1 号站台,汉密尔顿 (Hamilton)
2304291,"Sandgate Station, Platform 1",Sandgate,桑盖特 (Sandgate) 站 1 号站台,桑盖特 (Sandgate)
2304292,"Sandgate Station, Platform 2",Sandgate,桑盖特 (Sandgate) 站 2 号站台,桑盖特 (Sandgate)
2304301,"Warabrook (University) Station, Platform 1",Warabrook,瓦瑞布如克（大学）(Warabrook (University)) 站 1 号站台,瓦瑞布如克 (Warabrook)
2114173,"Denistone Station, Platform 3",Denistone,德尼斯通 (Denistone) 站 3 号站台,德尼斯通 (Denistone)
2114174,"Denistone Station, Platform 4",Denistone,德尼斯通 (Denistone) 站 4 号站台,德尼斯通 (Denistone)
2114181,"Meadowbank Station, Platform 1",Meadowbank,米多班克 (Meadowbank) 站 1 号站台,米多班克 (Meadowbank)
2114182,"Meadowbank Station, Platform 2",Meadowbank,米多班克 (Meadowbank) 站 2 号站台,米多班克 (Meadowbank)
2114191,"West Ryde Station, Platform 1",West Ryde,西怀特 (West Ryde) 站 1 号站台,西怀特 (West Ryde)
2114192,"West Ryde Station, Platform 2",West Ryde,西怀特 (West Ryde) 站 2 号站台,西怀特 (West Ryde)
211671,"Rydalmere Station, Platform 1",Rydalmere,赖多米尔 (Rydalmere) 站 1 号站台,赖多米尔 (Rydalmere)
2117191,"Telopea Station, Platform 1",Telopea,特洛皮亚 (Telopea) 站 1 号站台,特洛皮亚 (Telopea)
2117201,"Dundas Station, Platform 1",Dundas,邓达斯 (Dundas) 站 1 号站台,邓达斯 (Dundas)
2118211,"Carlingford Station, Platform 1",Carlingford,卡林福德 (Carlingford) 站 1 号站台,卡林福德 (Carlingford)
211981,"Beecroft Station, Platform 1",Beecroft,比克罗夫特 (Beecroft) 站 1 号站台,比克罗夫特 (Beecroft)
211982,"Beecroft Station, Platform 2",Beecroft,比克罗夫特 (Beecroft) 站 2 号站台,比克罗夫特 (Beecroft)
211991,"Cheltenham Station, Platform 1",Cheltenham,切尔滕纳姆 (Cheltenham) 站 1 号站台,切尔滕纳姆 (Cheltenham)
211992,"Cheltenham Station, Platform 2",Cheltenham,切尔滕纳姆 (Cheltenham) 站 2 号站台,切尔滕纳姆 (Cheltenham)
2120201,"Pennant Hills Station, Platform 1",Pennant Hills,彭南特山 (Pennant Hills) 站 1 号站台,彭南特山 (Pennant Hills)
2120202,"Pennant Hills Station, Platform 2",Pennant Hills,彭南特山 (Pennant Hills) 站 2 号站台,彭南特山 (Pennant Hills)
2120212,"Thornleigh Station, Platform 2",Thornleigh,桑利 (Thornleigh) 站 2 号站台,桑利 (Thornleigh)
2120213,"Thornleigh Station, Platform 3",Thornleigh,桑利 (Thornleigh) 站 3 号站台,桑利 (Thornleigh)
2121221,"Epping Station, Platform 1",Epping,艾坪 (Epping) 站 1 号站台,艾坪 (Epping)
2121226,"Epping Station, Platform 6",Epping,艾坪 (Epping) 站 6 号站台,艾坪 (Epping)
2122231,"Eastwood Station, Platform 1",Eastwood,伊士活 (Eastwood) 站 1 号站台,伊士活 (Eastwood)
2122232,"Eastwood Station, Platform 2",Eastwood,伊士活 (Eastwood) 站 2 号站台,伊士活 (Eastwood)
2122233,"Eastwood Station, Platform 3",Eastwood,伊士活 (Eastwood) 站 3 号站台,伊士活 (Eastwood)
2122234,"Eastwood Station, Platform 4",Eastwood,伊士活 (Eastwood) 站 4 号站台,伊士活 (Eastwood)
2127102,"Olympic Park Station, Platform 2",Sydney Olympic Park,奥林匹克公园 (Olympic Park) 站 2 号站台,悉尼奥林匹克公园 (Sydney Olympic Park)
2127103,"Olympic Park Station, Platform 3",Sydney Olympic Park,奥林匹克公园 (Olympic Park) 站 3 号站台,悉尼奥林匹克公园 (Sydney Olympic Park)
2127104,"Olympic Park Station, Platform 4",Sydney Olympic Park,奥林匹克公园 (Olympic Park) 站 4 号站台,悉尼奥林匹克公园 (Sydney Olympic Park)
213051,"Summer Hill Station, Platform 1",Summer Hill,萨默希尔 (Summer Hill) 站 1 号站台,萨默希尔 (Summer Hill)
213052,"Summer Hill Station, Platform 2",Summer Hill,萨默希尔 (Summer Hill) 站 2 号站台,萨默希尔 (Summer Hill)
213053,"Summer Hill Station, Platform 3",Summer Hill,萨默希尔 (Summer Hill) 站 3 号站台,萨默希尔 (Summer Hill)
2131121,"Ashfield Station, Platform 1",Ashfield,艾士菲 (Ashfield) 站 1 号站台,艾士菲 (Ashfield)
2131123,"Ashfield Station, Platform 3",Ashfield,艾士菲 (Ashfield) 站 3 号站台,艾士菲 (Ashfield)
2131124,"Ashfield Station, Platform 4",Ashfield,艾士菲 (Ashfield) 站 4 号站台,艾士菲 (Ashfield)
2131125,"Ashfield Station, Platform 5",Ashfield,艾士菲 (Ashfield) 站 5 号站台,艾士菲 (Ashfield)
213282,"Croydon Station, Platform 2",Croydon,克罗伊登 (Croydon) 站 2 号站台,克罗伊登 (Croydon)
213283,"Croydon Station, Platform 3",Croydon,克罗伊登 (Croydon) 站 3 号站台,克罗伊登 (Croydon)
213285,"Croydon Station, Platform 5",Croydon,克罗伊登 (Croydon) 站 5 号站台,克罗伊登 (Croydon)
213491,"Burwood Station, Platform 1",Burwood,宝活 (Burwood ) 站 1 号站台,宝活 (Burwood)
213492,"Burwood Station, Platform 2",Burwood,宝活 (Burwood ) 站 2 号站台,宝活 (Burwood)
213493,"Burwood Station, Platform 3",Burwood,宝活 (Burwood ) 站 3 号站台,宝活 (Burwood)
213494,"Burwood Station, Platform 4",Burwood,宝活 (Burwood ) 站 4 号站台,宝活 (Burwood)
213495,"Burwood Station, Platform 5",Burwood,宝活 (Burwood ) 站 5 号站台,宝活 (Burwood)
213496,"Burwood Station, Platform 6",Burwood,宝活 (Burwood ) 站 6 号站台,宝活 (Burwood)
2135232,"Strathfield Station, Platform 2",Strathfield,史卓菲 (Strathfield) 站 2 号站台,史卓菲 (Strathfield)
2135233,"Strathfield Station, Platform 3",Strathfield,史卓菲 (Strathfield) 站 3 号站台,史卓菲 (Strathfield)
2135235,"Strathfield Station, Platform 5",Strathfield,史卓菲 (Strathfield) 站 5 号站台,史卓菲 (Strathfield)
2135236,"Strathfield Station, Platform 6",Strathfield,史卓菲 (Strathfield) 站 6 号站台,史卓菲 (Strathfield)
2135237,"Strathfield Station, Platform 7",Strathfield,史卓菲 (Strathfield) 站 7 号站台,史卓菲 (Strathfield)
2135238,"Strathfield Station, Platform 8",Strathfield,史卓菲 (Strathfield) 站 8 号站台,史卓菲 (Strathfield)
2137171,"North Strathfield Station, Platform 1",North Strathfield,北史卓菲 (North Strathfield) 站 1 号站台,北史卓菲 (North Strathfield)
2137172,"North Strathfield Station, Platform 2",North Strathfield,北史卓菲 (North Strathfield) 站 2 号站台,北史卓菲 (North Strathfield)
2137173,"North Strathfield Station, Platform 3",North Strathfield,北史卓菲 (North Strathfield) 站 3 号站台,北史卓菲 (North Strathfield)
213881,"Concord West Station, Platform 2",Concord West,康科德西 (Concord West) 站 2 号站台,康科德西 (Concord West)
213882,"Concord West Station, Platform 3",Concord West,康科德西 (Concord West) 站 3 号站台,康科德西 (Concord West)
213883,"Concord West Station, Platform 4",Concord West,康科德西 (Concord West) 站 4 号站台,康科德西 (Concord West)
214076,"Homebush Station, Platform 6",Homebush,康宝树 (Homebush) 站 6 号站台,康宝树 (Homebush)
2141301,"Berala Station, Platform 1",Berala,贝拉拉 (Berala) 站 1 号站台,贝拉拉 (Berala)
2141302,"Berala Station, Platform 2",Berala,贝拉拉 (Berala) 站 2 号站台,贝拉拉 (Berala)
2141311,"Lidcombe Station, Platform 1",Lidcombe,利德科姆 (Lidcombe) 站 1 号站台,礼琴 (Lidcombe)
2141312,"Lidcombe Station, Platform 2",Lidcombe,利德科姆 (Lidcombe) 站 2 号站台,礼琴 (Lidcombe)
2141314,"Lidcombe Station, Platform 4",Lidcombe,利德科姆 (Lidcombe) 站 4 号站台,礼琴 (Lidcombe)
2141315,"Lidcombe Station, Platform 5",Lidcombe,利德科姆 (Lidcombe) 站 5 号站台,礼琴 (Lidcombe)
2141316,"Lidcombe Station, Platform 0",Lidcombe,利德科姆 (Lidcombe) 站 0 号站台,礼琴 (Lidcombe)
2142301,"Camellia Station, Platform 1",Camellia,卡梅利亚 (Camellia) 站 1 号站台,卡梅利亚 (Camellia)
2142312,"Clyde Station, Platform 2",Granville,奇街 (Clyde) 站 2 号站台,格兰维尔 (Granville)
2142313,"Clyde Station, Platform 3",Granville,奇街 (Clyde) 站 3 号站台,格兰维尔 (Granville)
2142314,"Clyde Station, Platform 4",Granville,奇街 (Clyde) 站 4 号站台,格兰维尔 (Granville)
2142315,"Clyde Station, Platform 5",Granville,奇街 (Clyde) 站 5 号站台,格兰维尔 (Granville)
2142321,"Granville Station, Platform 1",Granville,格兰维尔 (Granville) 站 1 号站台,格兰维尔 (Granville)
2142323,"Granville Station, Platform 3",Granville,格兰维尔 (Granville) 站 3 号站台,格兰维尔 (Granville)
2304302,"Warabrook (University) Station, Platform 2",Warabrook,瓦瑞布如克（大学）(Warabrook (University)) 站 2 号站台,瓦瑞布如克 (Warabrook)
2304311,"Waratah Station, Platform 1",Mayfield,瓦拉塔 (Waratah) 站 1 号站台,梅菲尔德 (Mayfield)
2304312,"Waratah Station, Platform 2",Mayfield,瓦拉塔 (Waratah) 站 2 号站台,梅菲尔德 (Mayfield)
2320302,"High Street Station, Platform 2",Maitland,高街 (High Street) 站 2 号站台,梅特兰 (Maitland)
2320311,"Maitland Station, Platform 1",Maitland,梅特兰 (Maitland) 站 1 号站台,梅特兰 (Maitland)
2320312,"Maitland Station, Platform 2",Maitland,梅特兰 (Maitland) 站 2 号站台,梅特兰 (Maitland)
2320313,"Maitland Station, Platform 3",Maitland,梅特兰 (Maitland) 站 3 号站台,梅特兰 (Maitland)
